Favored Team Cover,Favored Final Spread,Favored Team Rank,Spread,Fav Tempo,Fav ADJO,Fav ADJD,Fav O - PPP,Fav O - EFG%,Fav D - PPP,Fav D - EFG%,Underdog Team Rank,Underdog Tempo,Underdog ADJO,Underdog ADJD,Underdog O - PPP,Underdog O - EFG%,Underdog D - PPP,Underdog D - EFG%,Fav Court_H,Fav Court_N,Favored Team Predicted Win
0,6,5,"Gonzaga -8.3, 90-81 (75%)",79.66666667,95.86666667,121.3333333,132.8666667,58.86666667,90.83333333,44.9,35,81,92.55,109.5,110.8,57.75,91.9,52.05,0,1,8.3
1,2,5,"Duke -5.2, 89-84 (67%)",78.8,96.66,119.08,124.92,59.32,93.74,45.68,1,75.2,86.98,130.04,122.72,56.3,89.48,41.84,0,1,5.2
1,11,3,"Gonzaga -5.0, 88-83 (66%)",75.9,96.54,126.38,127.52,63.02,97.41,44.64,39,72.2,100.75,122.98,119.94,64.6,101.81,53.17,0,0,5
0,2,4,"Gonzaga -16.4, 87-71 (92%)",75.52,99.764,130.932,130.328,63.148,102.656,46.892,67,69.8,92.884,103.96,103.036,52.276,93.944,44.824,1,0,16.4
0,-3,5,"Gonzaga -2.4, 81-79 (59%)",74.06666667,102.62,130.4,129.72,61.03333333,103.9,48.66666667,11,72.9,91.32,116.21,113.46,54.04,91.59,45.16,0,1,2.4
0,-13,5,"North Carolina -2.9, 95-92 (59%)",72.94285714,103.1828571,128.6,123.7257143,57.02,108.6828571,50.26857143,8,77.53333333,96.64666667,116.6533333,116.1,53.46,97.82666667,50.73333333,0,0,2.9
1,13,4,"Gonzaga -4.2, 78-73 (66%)",72.62857143,81.64285714,115.2914286,119.62,57.21714286,77.35428571,39.66285714,30,69.81538462,96.60923077,115.1523077,110.9246154,51.90923077,102.4861538,46.57846154,0,0,4.2
1,30,3,"Gonzaga -16.3, 84-68 (92%)",70.82,87.742,129.164,129.698,60.658,86.27,43.242,39,68.86315789,99.94842105,111.4357895,104.58,50.62105263,107.5357895,51.94210526,1,0,16.3
1,48,3,"Gonzaga -17.3, 87-69 (93%)",71.91428571,91.09714286,124.8333333,125.8819048,59.86380952,90.77809524,45.43238095,38,65.4,108.4638095,121.5733333,121.0104762,57.16952381,110.3190476,54.53047619,1,0,17.3
0,7,2,"Virginia -14.0, 69-55 (93%)",61.8,87.5,116.38,127.48,60.7,75.22,40.12,106,70.4,95.44,108.98,111.34,54.86,94.12,48.3,0,1,14
1,7,2,"Virginia -4.1, 61-57 (69%)",61.6,90.22,118.88,125.66,59.22,81.88,44.76,13,67,90.9,118.38,118.74,55.46,88.04,44.08,0,1,4.1
0,5,2,"Virginia -5.3, 67-61 (72%)",60.73333333,87.24,116.72,117.5533333,54.52666667,82.87333333,45.8,41,73,95.53333333,110.74,118,57.02666667,92.33333333,45,0,0,5.3
0,8,3,"Virginia -12.9, 64-51 (93%)",62.24,87.348,119.272,117.504,55.408,85.012,45.184,61,71.13333333,80.52666667,97.03333333,93.46666667,44.24,84.7,40.91333333,1,0,12.9
1,17,2,"Virginia -9.0, 69-60 (83%)",62.2,88.86,118.64,116.3533333,53.07333333,85.67333333,42.97333333,85,74.8,99.68666667,105.8733333,100.3,48.00666667,101.2666667,50.61333333,0,0,9
1,13,2,"Virginia -11.7, 70-59 (89%)",63.46666667,84.47333333,119.52,121.4977778,55.11333333,81.53555556,40.37777778,27,74.4,94.768,113.272,113.42,54.892,94.312,49.16,1,0,11.7
1,20,2,"Virginia -8.2, 64-56 (83%)",65.07272727,84.59636364,121.3054545,120.0854545,57.04909091,83.83636364,42.23272727,51,73.06666667,89.68666667,102.6966667,96.99333333,49.97333333,95.18666667,49.63333333,0,0,8.2
1,22,1,"Virginia -9.1, 65-55 (85%)",62.56666667,81.44666667,119.6933333,114.81,54.58666667,81.1,39.82,7,64.23333333,93.34,115.4733333,116.01,55.68666667,91.64666667,49.20666667,1,0,9.1
0,-2,1,"Duke -0.8, 69-68 (53%)",61.18461538,84.88769231,127.6107692,122.6615385,59.09230769,85.70307692,41.81384615,2,78.13846154,90.61076923,119.1046154,113.0323077,54.45076923,93.42,43.80153846,0,0,0.8
0,1,1,"Virginia -11.1, 75-64 (86%)",62.025,86.0575,124.44,119.145,53.9925,89.085,43.235,35,72.65882353,97.44941176,114.7447059,109.5294118,54.05882353,99.59529412,49.63529412,0,0,11.1
0,10,1,"Virginia -21.0, 75-54 (98%)",62.64705882,83.92,120.8282353,116.6905882,52.85294118,86.60941176,40.86823529,72,67.37647059,104.6317647,109.1011765,101.0729412,49.76588235,111.9317647,59.67882353,1,0,21
0,-10,1,"Virginia -6.2, 70-63 (74%)",62.22222222,84.04666667,117.64,113.1155556,53.28888889,87.11777778,41.04666667,2,71.85263158,86.55789474,121.8021053,119.9715789,56.21894737,86.69263158,41.35052632,1,0,6.2
1,8,1,"Virginia -3.1, 72-69 (62%)",62.42105263,89.61684211,115.8,109.2810526,52.71473684,95.01052632,46.97052632,8,77.42,96.036,123.526,116.808,54.572,101.858,51.78,0,0,3.1
1,6,1,"Virginia -4.2, 63-58 (69%)",61.63809524,91.92190476,119.2266667,111.9847619,54.81904762,97.72952381,48.09619048,15,62.76363636,98.81636364,116.9563636,110.9436364,54.71818182,99.41454545,51.48,0,0,4.2
1,12,1,"Virginia -4.7, 63-59 (71%)",60.85454545,86.59818182,118.3181818,111.1163636,55.22545455,92.52909091,42.64363636,17,70.2,88.32666667,103.045,94.15166667,45.83333333,94.61333333,45.795,0,0,4.7
1,15,23,"Texas Tech -4.7, 74-69 (68%)",66,77.8,100.7333333,116.2333333,56.96666667,65.46666667,33.93333333,58,77.66666667,97.16666667,103.1666667,110.3666667,54.16666667,87.16666667,38.7,0,1,4.7
1,18,24,"Nebraska -1.0, 69-68 (54%)",67.4,79,101.32,117.08,58.24,67.76,36.66,16,74,72.14,115.12,125.28,60.9,62.48,30.64,0,1,1
1,11,12,"Texas Tech -10.9, 75-65 (86%)",67.6,84.04,108.5133333,116.6733333,56.60666667,77.66666667,39.91333333,117,77.6,97.07333333,100.0466667,98.8,48.72,100.7466667,52.78,0,1,10.9
0,-11,12,"Duke -7.8, 77-69 (77%)",67.77142857,79.52285714,106.9628571,113.1571429,55.06571429,72.43142857,35.40285714,1,76.65,82.22,117.205,121.335,55.965,78.105,40.085,0,1,7.8
0,6,12,"Texas Tech -8.4, 60-52 (85%)",70.84,78.976,98.884,99.06,50.556,77.752,40.072,55,65.68,89.072,98.512,94.372,46.644,91.932,47.884,1,0,8.4
1,7,10,"Texas Tech -4.4, 66-62 (69%)",68.54545455,80.14,102.9854545,101.8,52.01818182,77.92,39.40909091,13,73.58181818,89.04727273,105.6145455,99.53818182,47.61090909,91.17636364,43.77090909,1,0,4.4
1,6,10,"Texas -0.6, 60-59 (53%)",68.63333333,81.28333333,103.1066667,99.83,50.58666667,81.31,39.76333333,26,64.03333333,90.11,108.3733333,104.9,52.65666667,91.79666667,43.98333333,0,0,0.6
0,-4,8,"Texas Tech -5.8, 68-62 (74%)",67.46153846,82.85538462,107.8338462,102.6215385,52.16153846,84.03076923,39.84,16,67.72307692,92.17384615,112.5646154,108.5307692,55.02923077,94.89538462,47.20153846,1,0,5.8
0,-11,8,"Texas Tech -4.2, 63-58 (69%)",67.82857143,84.46571429,104.9542857,101.9142857,50.81142857,86.90857143,42.08,72,66.49230769,98.68,109.0184615,107.3215385,49.51846154,101.1661538,52.53384615,0,0,4.2
0,-13,11,"Texas Tech -0.5, 57-56 (52%)",67.37333333,86.75333333,105.2186667,101.2106667,51.156,92.20133333,44.39733333,42,64.14666667,85.95466667,109.4373333,102.3093333,49.06133333,91.28266667,49.344,0,0,0.5
0,3,16,"Texas Tech -10.4, 72-62 (86%)",66.65,86.84,100.0275,94.6775,48.475,92.265,45.785,69,74.78666667,98.36933333,105.904,102.4266667,50.83733333,104.128,53.036,1,0,10.4
1,19,16,"Texas Tech -3.9, 67-63 (67%)",66.28235294,87.50470588,101.8411765,95.86,51.66588235,92.21882353,45.94823529,19,67.275,88.4275,106.7675,99.2,49.115,92.615,45.3325,1,0,3.9
