,Team,Spread,Date,Court,Opponent,Opponent Initials,Result,Tempo,Record,WAB,ADJO,ADJD,O - PPP,O - EFG%,O - TO%,O - OR%,O - FTR,O - 2P,O - 3P,D - PPP,D - EFG%,D - TO%,D - OR%,D -  FTR,D -  2P,D - 3P,G-SC,+/-,Final Spread,Cover
0,Gonzaga,"Gonzaga -27.7, 94-66 (98%)","
				Tue 11-06
				11-06
				
				",H,Idaho St.,ISU,"W, 120-79 ",80,1-0,0.0,127.1,106.0,150.2,64.3,8.8,43.8,52.9,33-46,8-24,98.9,50.0,18.8,30.0,18.6,26-52,6-18,89,15.9,41,1
1,Gonzaga,"Gonzaga -28.7, 98-70 (98%)","
				Sat 11-10
				11-10
				
				",H,Texas Southern,TXSO,"W, 104-67 ",82,2-0,0.1,114.3,87.5,126.5,57.7,14.6,40.0,35.2,29-46,8-25,81.5,39.3,18.2,20.8,25.7,17-44,7-26,96,14.5,37,1
2,Gonzaga,"Gonzaga -16.6, 89-73 (91%)","
				Thu 11-15
				11-15
				
				",H,Texas A&M,TAMU,"W, 94-71 ",77,3-0,0.3,122.6,94.1,121.9,54.6,14.3,31.6,49.2,25-44,7-21,92.1,45.4,18.2,31.0,29.2,22-47,5-18,95,8.5,23,1
3,Gonzaga,"Gonzaga -8.3, 90-81 (75%)","
				Mon 11-19
				11-19
				
				",N,Illinois,Ill,"W, 84-78 ",78,4-0,0.7,112.4,93.2,107.2,59.8,28.1,34.4,68.6,20-32,7-19,99.6,45.7,16.6,29.8,27.1,17-39,10-31,90,5.2,6,0
4,Gonzaga,"Gonzaga -10.1, 85-75 (81%)","
				Tue 11-20
				11-20
				
				",N,Arizona,Ariz,"W, 91-74 ",77,5-0,1.0,119.0,102.5,118.8,60.2,15.7,25.7,32.8,25-35,9-29,96.6,48.0,20.9,15.6,58.8,14-28,7-23,85,-1.3,17,1
5,Gonzaga,"Duke -5.2, 89-84 (67%)","
				Wed 11-21
				11-21
				
				",N,Duke,Duke,"W, 89-87 ",72,6-0,1.8,146.5,102.0,123.3,60.0,15.2,37.1,29.2,24-46,10-19,120.5,46.5,13.9,48.9,36.1,26-59,5-13,98,7,2,1
6,Gonzaga,"Gonzaga -26.3, 91-65 (98%)","
				Mon 11-26
				11-26
				
				",H,North Dakota St.,NDSU,"W, 102-60 ",72,7-0,1.9,128.2,87.8,142.6,76.7,11.2,21.7,32.8,22-30,15-28,83.9,38.5,16.8,26.7,26.2,19-38,4-27,99,16.9,42,1
7,Gonzaga,"Gonzaga -5.0, 88-83 (66%)","
				Sat 12-01
				12-01
				
				",A,Creighton,Creigh,"W, 103-92 ",76,8-0,2.6,141.8,115.7,135.9,60.4,10.6,35.3,40.3,24-38,11-29,121.4,58.1,10.6,27.5,13.5,22-40,14-34,91,-1,11,1
8,Gonzaga,"Gonzaga -16.4, 87-71 (92%)","
				Wed 12-05
				12-05
				
				",H,Washington,Wash,"W, 81-79 ",67,9-0,2.9,134.7,114.5,120.8,49.2,13.4,38.9,30.2,19-43,8-20,117.8,55.1,13.4,25.0,25.4,19-32,9-27,87,5,2,0
9,Gonzaga,"Gonzaga -2.4, 81-79 (59%)","
				Sun 12-09
				12-09
				
				",N,Tennessee,Tenn,"L, 76-73 ",68,9-1,2.7,117.9,93.4,107.5,51.7,16.2,32.4,32.2,20-41,7-18,111.9,48.6,10.3,34.8,13.9,17-43,12-29,94,0.7,-3,0
10,Gonzaga,"North Carolina -2.9, 95-92 (59%)","
				Sat 12-15
				12-15
				
				",A,North Carolina,UNC,"L, 103-90 ",84,9-2,2.6,121.8,105.2,107.3,57.1,16.7,15.2,36.5,24-41,8-22,122.8,64.8,27.4,46.7,39.1,22-39,13-25,84,-9.3,-13,0
11,Gonzaga,"Gonzaga -27.8, 93-65 (98%)","
				Tue 12-18
				12-18
				
				",H,UT Arlington,UTA,"W, 89-55 ",77,10-2,2.7,114.8,78.7,115.5,57.6,19.5,30.0,42.4,25-35,6-24,71.4,32.4,14.3,18.5,15.5,11-37,8-34,99,13.8,34,1
12,Gonzaga,"Gonzaga -32.2, 99-67 (99%)","
				Fri 12-21
				12-21
				
				",H,Denver,Den,"W, 101-40 ",73,11-2,2.7,121.9,64.7,139.0,77.2,17.9,20.0,28.1,29-34,10-23,55.0,26.2,20.6,25.5,15.4,14-47,2-18,100,28,61,1
13,Gonzaga,"Gonzaga -36.8, 96-59 (100%)","
				Fri 12-28
				12-28
				
				",H,North Alabama,N.Bama,"W, 96-51 ",75,12-2,2.7,123.9,75.0,127.2,61.1,14.6,30.3,38.1,25-39,9-24,67.6,36.4,26.5,21.4,36.4,14-36,4-19,100,27.7,45,1
